Gene	Cytoband	CNA	#	Freq	Cases	Gistic
NFKB2	10q24	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
SUFU	10q24.32	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
CYP17A1	10q24.3	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
NT5C2	10q24.32	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
PDCD11	10q24.33	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
SMC3	10q25	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3696-01	
VTI1A	10q25.2	DEL	3	1.17%	TCGA-AA-3680-01,TCGA-AA-3696-01,TCGA-AA-3818-01	
TCF7L2	10q25.3	DEL	4	1.56%	TCGA-AA-3680-01,TCGA-AA-A024-01,TCGA-AA-3696-01,TCGA-AA-3818-01	
FAT3	11q14.3	DEL	1	0.39%	TCGA-AA-3680-01	
MRE11A	11q21	DEL	1	0.39%	TCGA-AA-3680-01	
MAML2	11q21	DEL	1	0.39%	TCGA-AA-3680-01	
PGR	11q22-q23	DEL	1	0.39%	TCGA-AA-3680-01	
YAP1	11q13	DEL	1	0.39%	TCGA-AA-3680-01	
BIRC2	11q22	DEL	1	0.39%	TCGA-AA-3680-01	
BIRC3	11q22	DEL	1	0.39%	TCGA-AA-3680-01	
ATM	11q22-q23	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3558-01	
DDX10	11q22-q23	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AA-3558-01	
POU2AF1	11q23.1	DEL	1	0.39%	TCGA-AA-3680-01	
SDHD	11q23	DEL	1	0.39%	TCGA-AA-3680-01	
ZBTB16	11q23.1	DEL	1	0.39%	TCGA-AA-3680-01	
RAD51	15q15.1	DEL	1	0.39%	TCGA-AA-3680-01	
MGA	15q14	DEL	1	0.39%	TCGA-AA-3680-01	
DNAH12	3p14.3	DEL	2	0.78%	TCGA-AA-3680-01,TCGA-AG-3580-01	
BRCA2	13q12.3	DEL	1	0.39%	TCGA-AA-3680-01	
PDS5B	13q12.3	DEL	1	0.39%	TCGA-AA-3680-01	
LFNG	7p22.2	AMP	1	0.39%	TCGA-AA-3684-01	
GNA12	7p22.2	AMP	1	0.39%	TCGA-AA-3684-01	
CARD11	7p22	AMP	1	0.39%	TCGA-AA-3684-01	
ACTB	7p22	AMP	1	0.39%	TCGA-AA-3684-01	
PMS2	7p22.2	AMP	1	0.39%	TCGA-AA-3684-01	
RAC1	7p22	AMP	1	0.39%	TCGA-AA-3684-01	
POT1	7q31.33	DEL	1	0.39%	TCGA-AA-3684-01	
PML	15q22	AMP	1	0.39%	TCGA-AA-3684-01	
CREBBP	16p13.3	AMP	1	0.39%	TCGA-AA-3684-01	
CD276	15q23-q24	AMP	1	0.39%	TCGA-AA-3684-01	
SIN3A	15q24.2	AMP	1	0.39%	TCGA-AA-3684-01	
AXIN1	16p13.3	AMP	2	0.78%	TCGA-AA-3684-01,TCGA-AA-3831-01	
WDR90	16p13.3	AMP	2	0.78%	TCGA-AA-3684-01,TCGA-AA-3831-01	
TSC2	16p13.3	AMP	2	0.78%	TCGA-AA-3684-01,TCGA-AA-3831-01	
TRAF7	16p13.3	AMP	2	0.78%	TCGA-AA-3684-01,TCGA-AA-3831-01	
MLST8	16p13.3	AMP	2	0.78%	TCGA-AA-3684-01,TCGA-AA-3831-01	
PDPK1	16p13.3	AMP	1	0.39%	TCGA-AA-3684-01	
FLYWCH1	16p13.3	AMP	1	0.39%	TCGA-AA-3684-01	
FKBP1A	20p13	AMP	1	0.39%	TCGA-AA-3684-01	
FGFR3	4p16.3	AMP	1	0.39%	TCGA-AA-3831-01	
WHSC1	4p16.3	AMP	1	0.39%	TCGA-AA-3831-01	
CLP1	11q12	DEL	1	0.39%	TCGA-AA-3845-01	
RASA1	5q13.3	DEL	2	0.78%	TCGA-AA-3994-01,TCGA-CM-4748-01	
MEF2C	5q14.3	DEL	2	0.78%	TCGA-AA-3994-01,TCGA-CM-4748-01	
CHD1	5q15-q21	DEL	2	0.78%	TCGA-AA-3994-01,TCGA-CM-4748-01	
PREX2	8q13.2	DEL	1	0.39%	TCGA-AG-3901-01	
TFRC	3q29	AMP	1	0.39%	TCGA-A6-2674-01	
SOCS2	12q	DEL	1	0.39%	TCGA-A6-2674-01	
PARK2	6q25.2-q27	AMP	1	0.39%	TCGA-AA-3522-01	
ECT2L	6q24.1	AMP	1	0.39%	TCGA-AA-3522-01	
ESR1	6q25.1	AMP	1	0.39%	TCGA-AA-3522-01	
SYNE1	6q25	AMP	1	0.39%	TCGA-AA-3522-01	
EZR	6q25.3	AMP	1	0.39%	TCGA-AA-3522-01	
FGFR1OP	6q27	AMP	1	0.39%	TCGA-AA-3522-01	
MLLT4	6q27	AMP	1	0.39%	TCGA-AA-3522-01	
CD22	19q13.1	AMP	1	0.39%	TCGA-AA-3522-01	
LATS1	6q25.1	AMP	2	0.78%	TCGA-AA-3522-01,TCGA-AA-3984-01	
ARID1B	6q25.1	AMP	1	0.39%	TCGA-AA-3522-01	
MAP3K4	6q26	AMP	1	0.39%	TCGA-AA-3522-01	
FZD10	12q24.33	AMP	1	0.39%	TCGA-AA-3681-01	
IGF1R	15q26.3	AMP	1	0.39%	TCGA-AA-3681-01	
MEF2A	15q26	AMP	1	0.39%	TCGA-AA-3681-01	
GLI1	12q13.2-q13.3	AMP	1	0.39%	TCGA-AA-3696-01	
VTCN1	1p13.1	AMP	1	0.39%	TCGA-AA-3952-01	
FAM46C	1p12	AMP	1	0.39%	TCGA-AA-3952-01	
NOTCH2	1p13-p11	AMP	1	0.39%	TCGA-AA-3952-01	
WNK1	12p13.3	AMP	2	0.78%	TCGA-AA-3952-01,TCGA-AG-3881-01	
RAD52	12p13-p12.2	AMP	2	0.78%	TCGA-AA-3952-01,TCGA-AG-3881-01	
KAT6B	10q22.2	AMP	2	0.78%	TCGA-AA-3952-01,TCGA-AG-A020-01	
APC	5q21-q22	DEL	2	0.78%	TCGA-AA-3986-01,TCGA-CM-4748-01	
CCND1	11q13	DEL	1	0.39%	TCGA-AG-3894-01	
NCOR1	17p11.2	DEL	2	0.78%	TCGA-AA-3514-01,TCGA-AF-2689-01	
BAP1	3p21.1	DEL	2	0.78%	TCGA-AA-3514-01,TCGA-AG-3580-01	
PBRM1	3p21	DEL	2	0.78%	TCGA-AA-3514-01,TCGA-AG-3580-01	
ZFP36L1	14q22-q24	DEL	1	0.39%	TCGA-AA-3558-01	
NFE2L3	7p15.2	AMP	1	0.39%	TCGA-AA-3664-01	
HNRNPA2B1	7p15	AMP	1	0.39%	TCGA-AA-3664-01	
HOXA9	7p15.2	AMP	1	0.39%	TCGA-AA-3664-01	
HOXA11	7p15.2	AMP	1	0.39%	TCGA-AA-3664-01	
HOXA13	7p15.2	AMP	1	0.39%	TCGA-AA-3664-01	
JAZF1	7p15.2-p15.1	AMP	1	0.39%	TCGA-AA-3664-01	
NOD1	7p14.3	AMP	2	0.78%	TCGA-AA-3664-01,TCGA-AA-3950-01	
INHBA	7p15-p13	AMP	1	0.39%	TCGA-AA-3664-01	
GLI3	7p13	AMP	1	0.39%	TCGA-AA-3664-01	
IKZF1	7p12.2	AMP	1	0.39%	TCGA-AA-3664-01	
PIK3C3	18q12.3	AMP	1	0.39%	TCGA-AA-3664-01	
SETBP1	18q21.1	AMP	1	0.39%	TCGA-AA-3664-01	
SMAD2	18q21.1	AMP	1	0.39%	TCGA-AA-3664-01	
KDM5A	12p11	AMP	1	0.39%	TCGA-AA-3715-01	
CHD4	12p13	AMP	1	0.39%	TCGA-AA-3715-01	
ZNF384	12p12	AMP	1	0.39%	TCGA-AA-3715-01	
ATN1	12p13.31	AMP	1	0.39%	TCGA-AA-3715-01	
PTPN6	12p13	AMP	1	0.39%	TCGA-AA-3715-01	
A2ML1	12p13.31	AMP	1	0.39%	TCGA-AA-3715-01	
ETV6	12p13	AMP	1	0.39%	TCGA-AA-3715-01	
TMSB4XP8	4q22.1	DEL	2	0.78%	TCGA-AA-3715-01,TCGA-AA-3510-01	
WRN	8p12	AMP	1	0.39%	TCGA-AA-3854-01	
CLTC	17q23.1	AMP	3	1.17%	TCGA-AA-3854-01,TCGA-AF-2689-01,TCGA-AA-A02O-01	
RPS6KB1	17q23.1	AMP	3	1.17%	TCGA-AA-3854-01,TCGA-AF-2689-01,TCGA-AA-A02O-01	
PPM1D	17q23.2	AMP	3	1.17%	TCGA-AA-3854-01,TCGA-AF-2689-01,TCGA-AA-A02O-01	
BRIP1	17q22.2	AMP	2	0.78%	TCGA-AA-3854-01,TCGA-AA-A02O-01	
CD79B	17q23	AMP	2	0.78%	TCGA-AA-3854-01,TCGA-AA-A02O-01	
DDX5	17q21	AMP	2	0.78%	TCGA-AA-3854-01,TCGA-AA-A02O-01	
GNA13	17q24.3	AMP	2	0.78%	TCGA-AA-3854-01,TCGA-AF-2689-01	
APCDD1	18p11.22	AMP	1	0.39%	TCGA-AA-3870-01	
ESCO1	18q11.2	AMP	1	0.39%	TCGA-AA-3870-01	
MIB1	18q11.2	AMP	1	0.39%	TCGA-AA-3870-01	
MECOM	3q26.2	DEL	1	0.39%	TCGA-AA-3966-01	
PRKCI	3q26.3	DEL	1	0.39%	TCGA-AA-3966-01	
DAXX	6p21.3	DEL	1	0.39%	TCGA-AA-3966-01	
SS18	18q11.2	DEL	1	0.39%	TCGA-AA-A00K-01	
ASXL3	18q11	DEL	1	0.39%	TCGA-AA-A00K-01	
ZNF24	18q12	DEL	1	0.39%	TCGA-AA-A00K-01	
ELP2	18q12.2	DEL	1	0.39%	TCGA-AA-A00K-01	
PIK3C3	18q12.3	DEL	1	0.39%	TCGA-AA-A00K-01	
SETBP1	18q21.1	DEL	1	0.39%	TCGA-AA-A00K-01	
SMAD2	18q21.1	DEL	3	1.17%	TCGA-AA-A00K-01,TCGA-AA-A02E-01,TCGA-CA-5256-01	
PPP2R1A	19q13.41	AMP	1	0.39%	TCGA-AA-A00K-01	
ZNF331	19q13.42	AMP	1	0.39%	TCGA-AA-A00K-01	
TFPT	19q13	AMP	1	0.39%	TCGA-AA-A00K-01	
JAK2	9p24	AMP	2	0.78%	TCGA-AG-3594-01,TCGA-AF-3400-01	
PDCD1LG2	9p24.2	AMP	2	0.78%	TCGA-AG-3594-01,TCGA-AF-3400-01	
KDM4C	9p24.1	AMP	2	0.78%	TCGA-AG-3594-01,TCGA-AF-3400-01	
PTPRD	9p23-p24.3	AMP	2	0.78%	TCGA-AG-3594-01,TCGA-AF-3400-01	
NFIB	9p24.1	AMP	3	1.17%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01	
PSIP1	9p22.3	AMP	3	1.17%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01	
MLLT3	9p22	AMP	4	1.56%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01,TCGA-A6-2671-01	
MTAP	9p21	AMP	4	1.56%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01,TCGA-A6-2671-01	
CDKN2A	9p21	AMP	3	1.17%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01	
CDKN2B	9p21	AMP	3	1.17%	TCGA-AG-3594-01,TCGA-AG-3881-01,TCGA-AF-3400-01	
TEK	9p21	AMP	2	0.78%	TCGA-AG-3881-01,TCGA-AF-3400-01	
TAF1L	9p21.1	AMP	2	0.78%	TCGA-AG-3881-01,TCGA-AF-3400-01	
FANCG	9p13	AMP	2	0.78%	TCGA-AG-3881-01,TCGA-AF-3400-01	
PAX5	9p13	AMP	2	0.78%	TCGA-AG-3881-01,TCGA-AF-3400-01	
ERC1	12p13.3	AMP	1	0.39%	TCGA-AG-3881-01	
RAD51C	17q22	AMP	2	0.78%	TCGA-AF-2689-01,TCGA-AA-A02O-01	
RHEB	7q36	DEL	1	0.39%	TCGA-AF-3400-01	
KMT2C	7q36.1	DEL	1	0.39%	TCGA-AF-3400-01	
FLCN	17p11.2	DEL	1	0.39%	TCGA-AF-3400-01	
GID4	17p11.2	DEL	1	0.39%	TCGA-AF-3400-01	
FGFR1OP	6q27	DEL	1	0.39%	TCGA-AF-3400-01	
MLLT4	6q27	DEL	1	0.39%	TCGA-AF-3400-01	
SPECC1	17p11.2	DEL	1	0.39%	TCGA-AF-3400-01	
MITF	3p14.2-p14.1	DEL	1	0.39%	TCGA-AG-3580-01	
FOXP1	3p14.1	DEL	1	0.39%	TCGA-AG-3580-01	
RYBP	3p13	DEL	1	0.39%	TCGA-AG-3580-01	
SHQ1	3p13	DEL	1	0.39%	TCGA-AG-3580-01	
SETD2	3p21.31	DEL	1	0.39%	TCGA-AG-3580-01	
NCKIPSD	3p21	DEL	1	0.39%	TCGA-AG-3580-01	
RHOA	3p21.3	DEL	1	0.39%	TCGA-AG-3580-01	
MST1R	3p21.3	DEL	1	0.39%	TCGA-AG-3580-01	
PARP3	3p21.2	DEL	1	0.39%	TCGA-AG-3580-01	
EPHA6	3q11.2	DEL	1	0.39%	TCGA-AG-3580-01	
PALB2	16p12.2	AMP	1	0.39%	TCGA-A6-2685-01	
PDE4DIP	1q12	AMP	1	0.39%	TCGA-A6-4107-01	
ZNF703	8p11.23	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
ADGRA2	8p11.23	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
EIF4EBP1	8p12	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
ASH2L	8p11.2	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
WHSC1L1	8p11.2	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
FGFR1	8p11.23-p11.22	DEL	2	0.78%	TCGA-AA-3488-01,TCGA-AA-3494-01	
ATP10A	15q11.2	DEL	1	0.39%	TCGA-AA-3488-01	
CBLB	3q13.11	DEL	1	0.39%	TCGA-AA-3492-01	
BTLA	3q13.2	DEL	1	0.39%	TCGA-AA-3492-01	
PLK2	5q12.1-q13.2	DEL	2	0.78%	TCGA-AA-3502-01,TCGA-AZ-4684-01	
PIK3R1	5q13.1	DEL	2	0.78%	TCGA-AA-3502-01,TCGA-AZ-4684-01	
PHLDA1	12q15	DEL	1	0.39%	TCGA-AA-3502-01	
ACVR2A	2q22.3	DEL	1	0.39%	TCGA-AA-3506-01	
E2F3	6p22	DEL	1	0.39%	TCGA-AA-3506-01	
SOX4	6p22.3	DEL	1	0.39%	TCGA-AA-3506-01	
YWHAE	17p13.3	AMP	1	0.39%	TCGA-AA-3968-01	
FH	1q42.1	DEL	1	0.39%	TCGA-AA-3968-01	
AKT3	1q44	DEL	1	0.39%	TCGA-AA-3968-01	
RPA1	17p13.3	AMP	1	0.39%	TCGA-AA-3968-01	
NLRP3	1q44	DEL	1	0.39%	TCGA-AA-3968-01	
ABCA9	17q24.2	DEL	1	0.39%	TCGA-AA-3968-01	
SOX9	17q24.3	DEL	1	0.39%	TCGA-AA-3968-01	
HOXB13	17q21.2	AMP	1	0.39%	TCGA-AA-A02O-01	
MIR142	17q22	AMP	1	0.39%	TCGA-AA-A02O-01	
RNF43	17q22	AMP	1	0.39%	TCGA-AA-A02O-01	
TET1	10q21	AMP	1	0.39%	TCGA-AG-A020-01	
KMT2C	7q36.1	AMP	1	0.39%	TCGA-AZ-4313-01	
MSH2	2p21	DEL	2	0.78%	TCGA-AZ-4313-01,TCGA-CM-4746-01	
EML4	2p21	DEL	2	0.78%	TCGA-AZ-4313-01,TCGA-CM-4746-01	
EPCAM	2p21	DEL	2	0.78%	TCGA-AZ-4313-01,TCGA-CM-4746-01	
MSH6	2p16	DEL	2	0.78%	TCGA-AZ-4313-01,TCGA-CM-4746-01	
FBXO11	2p16.3	DEL	2	0.78%	TCGA-AZ-4313-01,TCGA-CM-4746-01	
MYB	6q22-q23	AMP	1	0.39%	TCGA-AZ-4614-01	
EPHA3	3p11.2	AMP	1	0.39%	TCGA-AZ-4614-01	
SDHA	5p15	DEL	1	0.39%	TCGA-CM-4746-01	
TERT	5p15.33	DEL	1	0.39%	TCGA-CM-4746-01	
ICE1	5p15.32	DEL	1	0.39%	TCGA-CM-4746-01	
MSI2	17q22	DEL	1	0.39%	TCGA-CM-4746-01	
CDKN1A	6p21.2	DEL	1	0.39%	TCGA-CM-5341-01	
PIM1	6p21.2	DEL	1	0.39%	TCGA-CM-5341-01	
