Gene	Cytoband	CNA	#	Freq	Cases	Gistic
HIST3H3	1q42	AMP	1	0.39%	TCGA-AA-A01X-01	
FH	1q42.1	AMP	1	0.39%	TCGA-AA-A01X-01	
AKT3	1q44	AMP	1	0.39%	TCGA-AA-A01X-01	
NLRP3	1q44	AMP	1	0.39%	TCGA-AA-A01X-01	
BCL9	1q21	AMP	2	0.78%	TCGA-AA-A01X-01,TCGA-A6-4107-01	
HIST2H3C	1q21.2	AMP	1	0.39%	TCGA-AA-A01X-01	
HIST2H3D	1q21.2	AMP	1	0.39%	TCGA-AA-A01X-01	
APH1A	1p36.13-q31.3	AMP	2	0.78%	TCGA-AA-A01X-01,TCGA-AA-3947-01	
MCL1	1q21	AMP	2	0.78%	TCGA-AA-A01X-01,TCGA-AA-3947-01	
ARNT	1q21	AMP	2	0.78%	TCGA-AA-A01X-01,TCGA-AA-3947-01	
MLLT11	1q21	AMP	2	0.78%	TCGA-AA-A01X-01,TCGA-AA-3947-01	
TPM3	1q21.2	AMP	1	0.39%	TCGA-AA-A01X-01	
CKS1B	1q21.2	AMP	1	0.39%	TCGA-AA-A01X-01	
MUC1	1q21	AMP	1	0.39%	TCGA-AA-A01X-01	
YY1AP1	1q22	AMP	1	0.39%	TCGA-AA-A01X-01	
RIT1	1q22	AMP	1	0.39%	TCGA-AA-A01X-01	
PRCC	1q21.1	AMP	1	0.39%	TCGA-AA-A01X-01	
NTRK1	1q21-q22	AMP	1	0.39%	TCGA-AA-A01X-01	
INSRR	1q21-q23	AMP	1	0.39%	TCGA-AA-A01X-01	
FCRL4	1q21	AMP	1	0.39%	TCGA-AA-A01X-01	
NCSTN	1q22-q23	AMP	1	0.39%	TCGA-AA-A01X-01	
PBX1	1q23	AMP	1	0.39%	TCGA-AA-A01X-01	
PRRX1	1q24	AMP	1	0.39%	TCGA-AA-A01X-01	
RFWD2	1q25.1-q25.2	AMP	1	0.39%	TCGA-AA-A01X-01	
ABL2	1q25.2	AMP	1	0.39%	TCGA-AA-A01X-01	
WWOX	16q23	DEL	7	2.72%	TCGA-A6-2676-01,TCGA-AA-3518-01,TCGA-AA-3672-01,TCGA-AA-A00E-01,TCGA-AA-A01Q-01,TCGA-AA-3492-01,TCGA-AA-A02R-01	
MAF	16q22-q23	DEL	1	0.39%	TCGA-A6-2676-01	
PLCG2	16q24.1	DEL	1	0.39%	TCGA-A6-2676-01	
IRF8	16q24.1	DEL	1	0.39%	TCGA-A6-2676-01	
FBXO31	16q24.2	DEL	1	0.39%	TCGA-A6-2676-01	
CBFA2T3	16q24	DEL	1	0.39%	TCGA-A6-2676-01	
ANKRD11	16q24.3	DEL	1	0.39%	TCGA-A6-2676-01	
FANCA	16q24.3	DEL	1	0.39%	TCGA-A6-2676-01	
RPL13	16q24.3|17p11.2	DEL	1	0.39%	TCGA-A6-2676-01	
FHIT	3p14.2	DEL	12	4.67%	TCGA-A6-2676-01,TCGA-AA-3518-01,TCGA-AA-A00A-01,TCGA-AA-3680-01,TCGA-AA-3845-01,TCGA-AA-A01V-01,TCGA-AA-3543-01,TCGA-AA-3715-01,TCGA-AA-3984-01,TCGA-AA-A00K-01,TCGA-AA-A00R-01,TCGA-AG-3580-01	
FOXA1	14q21.1	DEL	1	0.39%	TCGA-A6-2676-01	
TRIP11	14q31-q32	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
GOLGA5	14q32.12	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
DICER1	14q32.13	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
TCL6	14q32.1	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
